NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:59:36	3231.27037116
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
262	1.09167	766.174	801.595	851.610	776.351	827.868	430.484	787.943	885.327	107.088
263	1.09583	766.207	801.570	851.600	776.353	827.948	430.539	787.861	885.444	106.921
264	1.10000	766.181	801.630	851.578	776.365	827.921	430.473	787.911	885.427	106.961
265	1.10417	766.130	801.555	851.605	776.369	827.964	430.543	787.865	885.421	106.940
266	1.10833	766.103	801.571	851.568	776.303	827.938	430.445	787.943	885.390	107.076
267	1.11250	766.143	801.521	851.599	776.340	827.902	430.519	787.901	885.363	107.038
268	1.11667	766.135	801.534	851.584	776.326	827.911	430.438	787.915	885.304	107.138
269	1.12083	766.125	801.442	851.622	776.325	827.932	430.509	787.967	885.339	107.089
270	1.12500	766.157	801.480	851.592	776.306	827.851	430.481	787.915	885.342	106.987
271	1.12917	766.163	801.461	851.562	776.308	827.893	430.565	787.925	885.372	107.007
272	1.13333	766.086	801.446	851.567	776.277	827.886	430.536	787.864	885.362	107.032
273	1.13750	766.102	801.422	851.592	776.284	827.905	430.460	787.895	885.221	107.136
274	1.14167	766.115	801.392	851.572	776.329	827.970	430.542	787.774	885.458	106.963
275	1.14583	766.050	801.358	851.585	776.307	827.891	430.510	787.950	885.263	107.133
276	1.15000	766.070	801.343	851.569	776.293	827.840	430.481	787.859	885.305	107.033
277	1.15417	766.064	801.316	851.554	776.302	827.816	430.512	787.926	885.367	107.040
278	1.15833	766.061	801.247	851.575	776.256	827.844	430.466	787.891	885.386	106.946
279	1.16250	766.070	801.253	851.606	776.280	827.761	430.475	787.929	885.333	107.063
280	1.16667	766.061	801.189	851.595	776.280	827.818	430.485	787.794	885.463	106.877
281	1.17083	766.067	801.252	851.566	776.292	827.781	430.483	787.897	885.373	106.983
282	1.17500	766.026	801.169	851.596	776.276	827.779	430.492	787.942	885.390	107.121
283	1.17917	766.049	801.168	851.600	776.240	827.688	430.425	787.931	885.354	107.079
284	1.18333	766.024	801.120	851.582	776.250	827.805	430.454	787.963	885.320	107.120
285	1.18750	766.001	801.074	851.542	776.260	827.727	430.489	787.955	885.334	107.071
286	1.19167	765.964	801.050	851.584	776.284	827.733	430.396	787.908	885.352	107.097
287	1.19583	765.953	801.010	851.561	776.258	827.681	430.489	787.886	885.284	107.112
288	1.20000	766.015	801.005	851.577	776.277	827.619	430.489	787.886	885.405	107.073
289	1.20417	766.012	800.969	851.516	776.281	827.685	430.459	787.880	885.376	107.039
290	1.20833	765.949	800.964	851.557	776.256	827.630	430.465	787.955	885.421	107.066
291	1.21250	765.913	800.960	851.495	776.310	827.583	430.475	787.875	885.380	107.027
292	1.21667	765.964	800.824	851.546	776.271	827.609	430.482	787.896	885.267	107.142
293	1.22083	765.939	800.858	851.516	776.289	827.536	430.525	787.846	885.297	107.034
